"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Grenada","Region of the Americas","Females","","42.907406","18.482378","70.425423","",
"Physical inactivity, adults aged 18+","","2022","Guatemala","Region of the Americas","Total","","36.830093","23.858429","50.675827","",
"Physical inactivity, adults aged 18+","","2022","Guatemala","Region of the Americas","Males","","28.38048","14.259611","46.172085","",
"Physical inactivity, adults aged 18+","","2022","Guatemala","Region of the Americas","Females","","44.760452","24.494196","66.246353","",
"Physical inactivity, adults aged 18+","","2022","Guinea","African Region","Total","","16.701309","5.0439544","34.386066","",
"Physical inactivity, adults aged 18+","","2022","Guinea","African Region","Males","","13.73612","2.7338271","34.949287","",
"Physical inactivity, adults aged 18+","","2022","Guinea","African Region","Females","","19.350788","2.7135556","48.864887","",
"Physical inactivity, adults aged 18+","","2022","Guinea-Bissau","African Region","Total","","17.639141","5.5718088","36.072697","",
"Physical inactivity, adults aged 18+","","2022","Guinea-Bissau","African Region","Males","","15.162537","3.5627744","37.655457","",
"Physical inactivity, adults aged 18+","","2022","Guinea-Bissau","African Region","Females","","19.841991","2.6924226","51.214283","",
"Physical inactivity, adults aged 18+","","2022","Guyana","Region of the Americas","Total","","35.081787","23.238321","47.464638","",
"Physical inactivity, adults aged 18+","","2022","Guyana","Region of the Americas","Males","","24.214403","12.095337","39.180958","",
"Physical inactivity, adults aged 18+","","2022","Guyana","Region of the Americas","Females","","45.069099","26.108778","65.389542","",
"Physical inactivity, adults aged 18+","","2022","Haiti","Region of the Americas","Total","","28.299654","10.77758","49.486183","",
"Physical inactivity, adults aged 18+","","2022","Haiti","Region of the Americas","Males","","20.349628","5.3606849","47.213177","",
"Physical inactivity, adults aged 18+","","2022","Haiti","Region of the Americas","Females","","35.785942","8.0943365","70.853134","",
"Physical inactivity, adults aged 18+","","2022","Honduras","Region of the Americas","Total","","36.775093","16.131781","59.148987","",
"Physical inactivity, adults aged 18+","","2022","Honduras","Region of the Americas","Males","","30.623734","9.6654034","60.251289","",
"Physical inactivity, adults aged 18+","","2022","Honduras","Region of the Americas","Females","","42.872654","11.630285","78.300316","",
"Physical inactivity, adults aged 18+","","2022","Hungary","European Region","Total","","29.413515","22.200769","37.267242","",
"Physical inactivity, adults aged 18+","","2022","Hungary","European Region","Males","","28.144646","18.847143","38.72963","",
"Physical inactivity, adults aged 18+","","2022","Hungary","European Region","Females","","30.642759","20.208872","42.275826","",
"Physical inactivity, adults aged 18+","","2022","Iceland","European Region","Total","","25.917837","9.8395777","46.660748","",
"Physical inactivity, adults aged 18+","","2022","Iceland","European Region","Males","","23.924435","6.1974359","51.080959","",
"Physical inactivity, adults aged 18+","","2022","Iceland","European Region","Females","","28.031584","5.2349477","63.545441","",
"Physical inactivity, adults aged 18+","","2022","India","South-East Asia Region","Total","","49.418007","38.395767","60.950829","",
